Date,Stock,Open,High,Low,Close
2019-10-01,EBAY,38.990002,39.470001,38.470001,38.540001
2019-10-02,EBAY,38.349998,38.57,37.990002,38.169998
2019-10-03,EBAY,38.049999,38.049999,37.450001,37.950001
2019-10-04,EBAY,38.09,38.380001,37.959999,38.310001
2019-10-07,EBAY,38.040001,38.189999,37.759998,37.82
2019-10-08,EBAY,37.470001,37.73,37.23,37.32
2019-10-09,EBAY,37.619999,38.0,37.52,37.849998
2019-10-10,EBAY,37.77,38.259998,37.759998,37.93
2019-10-11,EBAY,38.43,38.990002,38.43,38.549999
2019-10-14,EBAY,38.540001,38.630001,38.34,38.360001
2019-10-15,EBAY,38.369999,39.040001,38.349998,38.880001
2019-10-16,EBAY,38.639999,39.189999,38.59,38.919998
2019-10-17,EBAY,38.924999,39.2699985,38.665001000000004,38.869999
2019-10-18,EBAY,39.209999,39.349998,38.740002,38.82
2019-10-21,EBAY,38.959999,39.299999,38.919998,39.259998
2019-10-22,EBAY,39.23,39.360001,38.880001,38.939999
2019-10-23,EBAY,38.669998,39.330002,38.360001,39.200001
2019-10-24,EBAY,35.77,36.650002,35.189999,37.5200005
2019-10-25,EBAY,35.549999,36.0,35.400002,35.84
2019-10-28,EBAY,35.82,36.25,35.82,35.939999
2019-10-29,EBAY,35.900002,36.27,35.720001,36.110001
2019-10-30,EBAY,36.150002,36.189999,35.689999,35.860001
2019-10-31,EBAY,35.689999,35.860001,35.130001,35.25
2019-11-01,EBAY,35.5,35.59,35.09,35.25
2019-11-04,EBAY,35.25,35.52,35.209999,35.41
2019-11-05,EBAY,35.5,35.759998,35.310001,35.48
2019-11-06,EBAY,35.630001,35.669998,35.27,35.5
2019-11-07,EBAY,35.509998,35.619999,34.779999,34.889999
2019-11-08,EBAY,34.740002,35.259998,34.68,35.139999
2019-11-11,EBAY,35.02,35.310001,34.93,35.25
2019-11-12,EBAY,35.290001,35.369999,34.970001,35.07
2019-11-13,EBAY,34.849998,34.93,34.540001,34.639999
2019-11-14,EBAY,34.560001,35.099998,34.52,34.959999
2019-11-15,EBAY,35.380001,35.580002,35.189999,35.27
2019-11-18,EBAY,35.139999,35.400002,35.0,35.099998
2019-11-19,EBAY,35.220001,35.41,34.98,35.060001
2019-11-20,EBAY,35.02,35.25,34.740002,34.860001
2019-11-21,EBAY,34.919998,35.150002,34.849998,34.939999
2019-11-22,EBAY,34.959999,35.23,34.77,35.3949985
2019-11-25,EBAY,36.490002,36.529999,35.34,35.849998
2019-11-26,EBAY,35.669998,35.900002,35.419998,35.75
2019-11-27,EBAY,35.799999,36.02,35.689999,35.849998
2019-11-29,EBAY,35.689999,35.849998,35.459999,35.52
2019-12-02,EBAY,35.450001,35.619999,34.810001,34.900002
2019-12-03,EBAY,34.599998,34.91,34.459999,34.75
2019-12-04,EBAY,34.810001,35.240002,34.810001,34.970001
2019-12-05,EBAY,34.939999,35.09,34.77,34.790001
2019-12-06,EBAY,35.130001,35.220001,34.830002,34.860001
2019-12-09,EBAY,34.849998,34.919998,34.560001,34.57
2019-12-10,EBAY,34.669998,35.0,34.66,34.720001
2019-12-11,EBAY,34.700001,34.990002,34.68,34.919998
2019-12-12,EBAY,34.860001,35.459999,34.860001,35.310001
2019-12-13,EBAY,35.360001,35.77,35.259998,35.48
2019-12-16,EBAY,35.57,35.77,35.389999,35.400002
2019-12-17,EBAY,35.439999,35.950001,35.27,35.900002
2019-12-18,EBAY,35.84,35.919998,35.330002,35.639999
2019-12-19,EBAY,35.52,36.119999,35.52,36.040001
2019-12-20,EBAY,36.02,36.34,35.919998,36.189999
2019-12-23,EBAY,36.220001,36.490002,36.169998,36.209999
2019-12-24,EBAY,36.209999,36.279999,36.099998,36.209999
2019-12-26,EBAY,36.349998,36.52,36.189999,36.25
2019-12-27,EBAY,36.389999,36.400002,35.990002,36.07
2019-12-30,EBAY,36.1,36.260000500000004,35.7650015,36.0900005
2019-12-31,EBAY,35.810001,36.119999,35.540001,36.110001
2020-01-02,EBAY,36.41,36.5,36.139999,36.299999
2020-01-03,EBAY,35.919998,36.099998,35.779999,35.959999
2020-01-06,EBAY,35.779999,35.82,35.459999,35.779999
2020-01-07,EBAY,35.669998,35.700001,35.349998,35.619999
2020-01-08,EBAY,35.709999,36.080002,35.57,35.599998
2020-01-09,EBAY,35.139999,35.450001,34.970001,35.18
2020-01-10,EBAY,35.209999,35.23,34.790001,34.889999
2020-01-13,EBAY,34.849998,34.889999,34.560001,34.73
2020-01-14,EBAY,34.669998,35.369999,34.509998,35.349998
2020-01-15,EBAY,35.43,35.720001,35.049999,35.330002
2020-01-16,EBAY,35.389999,35.990002,35.27,35.919998
